Run,Block,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trigger_txt.started,trigger_txt.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,instr_txt.started,instr_txt.stopped,prepared_resp.keys,prepared_resp.rt,prepared_resp.started,prepared_resp.stopped,prep_instr.started,prep_instr.stopped,target.started,target.stopped,corr_var,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,trial_fixation.started,trial_fixation.stopped,prep_instr_2.started,prep_instr_2.stopped,target_2.started,target_2.stopped,rest_txt.started,rest_txt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4,4,1,PL_039_LEXINGTON06.png,target,target,Place,2-Back,1,0,1,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,0,143.10492220000015,None,2,0.3812163000002329,143.10492220000015,None,None,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0987452999998,None,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,5,1,BP_049_MRBAI_BA.png,nonlure,nontarget,Body,0-Back,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,160.2580539999999,None,160.2580539999999,None,0,163.22634339999968,None,None,,163.22634339999968,None,165.22064469999896,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,5,1,BP_047_MLBHS_BA.png,nonlure,nontarget,Body,0-Back,2,0,2,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,0,165.76490709999962,None,None,,165.76490709999962,None,167.7691288999995,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,5,1,BP_045_MLBFS_BA.png,nonlure,nontarget,Body,0-Back,2,0,2,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,0,168.39585889999944,None,None,,168.39585889999944,None,170.40094449999924,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,5,1,BP_048_MLCHS_BA.png,nonlure,nontarget,Body,0-Back,2,0,2,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,0,170.92381289999867,None,None,,170.92381289999867,None,172.9330162999995,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,5,1,BP_044_MLBFI_BA.png,target,target,Body,0-Back,2,0,2,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,0,173.44178219999958,None,None,,173.44178219999958,None,175.44805180000003,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,5,1,BP_048_MLCHS_BA.png,lure,nontarget,Body,0-Back,2,0,2,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,0,175.95470889999888,None,None,,175.95470889999888,None,177.96347640000022,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,5,1,BP_044_MLBFI_BA.png,target,target,Body,0-Back,2,0,2,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,0,178.47217909999927,None,None,,178.47217909999927,None,180.4787944999989,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,5,1,BP_047_MLBHS_BA.png,lure,nontarget,Body,0-Back,2,0,2,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,0,180.98650669999915,None,None,,180.98650669999915,None,182.99390870000025,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,5,1,BP_049_MRBAI_BA.png,lure,nontarget,Body,0-Back,2,0,2,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,0,183.5106040999999,None,None,,183.5106040999999,None,185.50919839999915,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
