Run,Block,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trigger_txt.started,trigger_txt.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,instr_txt.started,instr_txt.stopped,prepared_resp.keys,prepared_resp.rt,prepared_resp.started,prepared_resp.stopped,prep_instr.started,prep_instr.stopped,target.started,target.stopped,corr_var,stim_trial_fixation.started,stim_trial_fixation.stopped,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,prep_instr_2.started,prep_instr_2.stopped,target_2.started,target_2.stopped,rest_txt.started,rest_txt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,4,1,BP_010_BP3_BA.png,nonlure,nontarget,Body,0-Back,1,0,1,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,0,132.8703968000009,133.37875650000205,133.37875650000205,132.8703968000009,None,,133.37875650000205,132.8703968000009,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,4,1,BP_008_BP21_BA.png,nonlure,nontarget,Body,0-Back,1,0,1,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,135.39910300000338,135.89419140000246,135.89419140000246,135.39910300000338,None,,135.89419140000246,135.39910300000338,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,4,1,BP_011_BP4_BA.png,lure,nontarget,Body,0-Back,1,0,1,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,0,137.90371980000054,138.4094268000008,138.4094268000008,137.90371980000054,None,,138.4094268000008,137.90371980000054,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,4,1,BP_009_BP22_BA.png,nonlure,nontarget,Body,0-Back,1,0,1,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,0,140.443725000001,140.94136100000105,140.94136100000105,140.443725000001,None,,140.94136100000105,140.443725000001,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,4,1,BP_009_BP22_BA.png,lure,nontarget,Body,0-Back,1,0,1,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,0,142.9440287000034,143.4399764000009,143.4399764000009,142.9440287000034,None,,143.4399764000009,142.9440287000034,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,4,1,BP_008_BP21_BA.png,lure,nontarget,Body,0-Back,1,0,1,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,0,145.4434564000003,145.93863610000335,145.93863610000335,145.4434564000003,None,,145.93863610000335,145.4434564000003,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,4,1,BP_007_BP20_BA.png,target,target,Body,0-Back,1,0,1,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,0,147.94119520000095,148.43704380000054,148.43704380000054,147.94119520000095,None,,148.43704380000054,147.94119520000095,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,4,1,BP_012_BP5_BA.png,nonlure,nontarget,Body,0-Back,1,0,1,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,0,150.52193370000168,151.01916390000042,151.01916390000042,150.52193370000168,None,,151.01916390000042,150.52193370000168,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.01778090000153,None,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,5,1,PL_003_92016.png,nonlure,nontarget,Place,0-Back,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,168.12655190000078,None,168.12655190000078,None,0,170.93150720000267,171.42428690000088,171.42428690000088,None,None,,171.42428690000088,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,5,1,PL_003_92016.png,lure,nontarget,Place,0-Back,2,0,2,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,0,173.4355964000024,173.9395011000015,173.9395011000015,173.4355964000024,None,,173.9395011000015,173.4355964000024,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,5,1,PL_006_92025.png,nonlure,nontarget,Place,0-Back,2,0,2,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,0,176.0614475000002,176.55484250000154,176.55484250000154,176.0614475000002,None,,176.55484250000154,176.0614475000002,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,5,1,PL_001_92012.png,target,target,Place,0-Back,2,0,2,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,0,178.56586180000158,179.06976190000205,179.06976190000205,178.56586180000158,None,,179.06976190000205,178.56586180000158,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,5,1,PL_004_92023.png,nonlure,nontarget,Place,0-Back,2,0,2,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,0,181.2967512000032,181.80197280000357,181.80197280000357,181.2967512000032,None,,181.80197280000357,181.2967512000032,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
