Run,Block,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trigger_txt.started,trigger_txt.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,instr_txt.started,instr_txt.stopped,prepared_resp.keys,prepared_resp.rt,prepared_resp.started,prepared_resp.stopped,prep_instr.started,prep_instr.stopped,target.started,target.stopped,corr_var,stim_trial_fixation.started,stim_trial_fixation.stopped,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,(iti duration),(stim duration),(rest duration),prep_instr_2.started,prep_instr_2.stopped,target_2.started,target_2.stopped,rest_txt.started,rest_txt.stopped,end_txt.started,end_txt.stopped,end_key_resp.keys,end_key_resp.rt,end_key_resp.started,end_key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
4,4,1,PL_040_LEXINGTON16.png,nonlure,nontarget,Place,2-Back,1,0,1,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,0,136.3294733,136.8345956,136.8345956,136.3294733,None,,136.8345956,136.3294733,0.5051223,2.120899,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,4,1,PL_041_LEXINGTON17.png,nonlure,nontarget,Place,2-Back,1,0,1,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,0,138.9554946,139.4500665,139.4500665,138.9554946,None,,139.4500665,138.9554946,0.4945719,2.4443318,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,4,1,PL_039_LEXINGTON06.png,nonlure,nontarget,Place,2-Back,1,0,1,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,0,141.8943983,142.3984582,142.3984582,141.8943983,None,,142.3984582,141.8943983,0.5040599,2.0083501,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,4,1,PL_041_LEXINGTON17.png,target,target,Place,2-Back,1,0,1,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,0,144.4068083,144.9135488,144.9135488,144.4068083,None,,144.9135488,144.4068083,0.5067405,2.0094179,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,4,1,PL_039_LEXINGTON06.png,target,target,Place,2-Back,1,0,1,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,0,146.9229667,147.4288266,147.4288266,146.9229667,None,,147.4288266,146.9229667,0.5058599,-147.4288266,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,167.5906978,,,,,,149.427637,None,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,5,1,BP_049_MRBAI_BA.png,nonlure,nontarget,Body,0-Back,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,164.6221639,None,164.6221639,None,0,167.5906978,168.0839767,168.0839767,None,1,1.8197809,168.0839767,None,0.4932789,2.0700211,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,5,1,BP_047_MLBHS_BA.png,nonlure,nontarget,Body,0-Back,2,0,2,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,0,170.1539978,170.6492888,170.6492888,170.1539978,1,1.8080932,170.6492888,170.1539978,0.495291,2.0395154,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,5,1,BP_045_MLBFS_BA.png,nonlure,nontarget,Body,0-Back,2,0,2,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,0,172.6888042,173.1810845,173.1810845,172.6888042,1,1.9663789,173.1810845,172.6888042,0.4922803,2.0828129,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,5,1,BP_048_MLCHS_BA.png,nonlure,nontarget,Body,0-Back,2,0,2,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,0,175.2638974,175.7631244,175.7631244,175.2638974,1,1.7827194,175.7631244,175.2638974,0.499227,2.01153,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
