Run,Block,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,prep_instr.started,target.started,prep_instr.stopped,target.stopped,stim_trial_fixation.started,stim_trial_fixation.stopped,image.started,key_resp.started,image.stopped,key_resp.stopped,corr_var,key_resp.keys,key_resp.rt,key_resp.duration,prep_instr_2.started,target_2.started,prep_instr_2.stopped,target_2.stopped,rest_txt.started,rest_txt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4,4,1,PL_044_SCENE01.png,nonlure,nontarget,Place,2-Back,1,0,1,0,,,,,0,2,2,2,,,,,,,,,,,,,,,129.07644309988245,129.55336449993774,129.55336449993774,129.55336449993774,131.5476293999236,131.5476293999236,1,2,1.7061538000125438,None,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
4,4,1,PL_044_SCENE01.png,lure,nontarget,Place,2-Back,1,0,1,0,,,,,0,3,3,3,,,,,,,,,,,,,,,131.5476293999236,132.04645409993827,132.04645409993827,132.04645409993827,134.20275789988227,134.20275789988227,0,1,1.6657438999973238,None,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
4,4,1,PL_042_LEXINGTON18.png,nonlure,nontarget,Place,2-Back,1,0,1,0,,,,,0,4,4,4,,,,,,,,,,,,,,,134.20275789988227,134.67308419989422,134.67308419989422,134.67308419989422,136.6677355999127,136.6677355999127,0,1,1.8068867998663336,None,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
4,4,1,PL_040_LEXINGTON16.png,nonlure,nontarget,Place,2-Back,1,0,1,0,,,,,0,5,5,5,,,,,,,,,,,,,,,136.6677355999127,137.16662640008144,137.16662640008144,137.16662640008144,139.1613521000836,139.1613521000836,1,2,1.8245959000196308,None,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
4,4,1,PL_041_LEXINGTON17.png,nonlure,nontarget,Place,2-Back,1,0,1,0,,,,,0,6,6,6,,,,,,,,,,,,,,,139.1613521000836,139.66006199992262,139.66006199992262,139.66006199992262,141.76983839995228,141.76983839995228,0,1,1.458907000022009,None,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
4,4,1,PL_039_LEXINGTON06.png,nonlure,nontarget,Place,2-Back,1,0,1,0,,,,,0,7,7,7,,,,,,,,,,,,,,,141.76983839995228,142.25322539987974,142.25322539987974,142.25322539987974,144.24761900003068,144.24761900003068,0,None,,,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
4,4,1,PL_041_LEXINGTON17.png,target,target,Place,2-Back,1,0,1,0,,,,,0,8,8,8,,,,,,,,,,,,,,,144.24761900003068,144.74682740005665,144.74682740005665,144.74682740005665,146.74129389994778,146.74129389994778,0,None,,,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
4,4,1,PL_039_LEXINGTON06.png,target,target,Place,2-Back,1,0,1,0,,,,,0,9,9,9,,,,,,,,,,,,,,,146.74129389994778,147.24017879995517,147.24017879995517,147.24017879995517,149.23471589991823,149.23471589991823,0,None,,,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.23471589991823,164.30681829992682,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
4,5,1,BP_049_MRBAI_BA.png,nonlure,nontarget,Body,0-Back,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,164.30681829992682,164.30681829992682,166.9067708000075,166.9067708000075,166.9067708000075,167.3873423000332,167.3873423000332,167.3873423000332,169.47631679987535,169.47631679987535,0,None,,,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
