cond,Hour,Minute,bottomText,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,prep_instr.started,prep_instr.stopped,start_indicator.started,start_indicator.stopped,use_rows,clock_digital.started,direction_txt.started,key_resp.started,clock_digital.stopped,direction_txt.stopped,key_resp.stopped,corr_var,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trial_fixation.started,trial_fixation.stopped,rest_txt.started,rest_txt.stopped,end_txt.started,end_key_resp.started,end_key_resp.keys,end_key_resp.rt,end_key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
2,10,38,右上,0,2,4,0,4,0,0,1,1,1,,,,,,,,,,,,,,,73,274.6666840999969,274.7662026999751,274.7662026999751,277.16016440000385,277.16016440000385,277.16016440000385,1,2,1,1.7122165000182576,None,277.16016440000385,277.6590089999954,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,16,5,右上,1,1,4,0,4,0,0,2,2,3,,,,,,,,,,,,,,,1,277.6590089999954,277.7582851999905,277.7582851999905,280.1523517000023,280.1523517000023,280.1523517000023,1,1,1,1.3130054000066593,None,280.1523517000023,280.6509940000251,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,7,19,右下,1,1,4,0,4,0,0,3,3,4,,,,,,,,,,,,,,,17,280.6509940000251,280.75084180000704,280.75084180000704,283.14443949999986,283.14443949999986,283.14443949999986,1,1,1,1.7490426999866031,None,283.14443949999986,283.64305790001526,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,14,43,左下,1,1,4,0,4,0,0,4,4,9,,,,,,,,,,,,,,,25,283.64305790001526,283.74292809999315,283.74292809999315,286.1362233000109,286.1362233000109,286.1362233000109,1,1,1,1.9231076000141911,None,286.1362233000109,286.63497169996845,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,11,58,右上,0,2,4,0,4,0,0,5,5,6,,,,,,,,,,,,,,,88,286.63497169996845,286.7351373999845,286.7351373999845,289.1288540000096,289.1288540000096,289.1288540000096,1,2,1,1.404833399981726,None,289.1288540000096,289.6276133999927,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,15,52,左下,0,2,4,0,4,0,0,6,6,5,,,,,,,,,,,,,,,77,289.6276133999927,289.7269725999795,289.7269725999795,292.120874300017,292.120874300017,292.120874300017,1,2,1,1.9027951000025496,None,292.120874300017,292.61967400001595,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,10,3,右上,1,1,4,0,4,0,0,7,7,8,,,,,,,,,,,,,,,48,292.61967400001595,292.7194272999768,292.7194272999768,295.11298799997894,295.11298799997894,295.11298799997894,1,1,1,0.9471088999998756,None,295.11298799997894,295.6116771000088,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,10,56,右上,0,2,4,0,4,0,0,8,8,7,,,,,,,,,,,,,,,9,295.6116771000088,295.7114152999711,295.7114152999711,298.1051355000236,298.1051355000236,298.1051355000236,1,2,1,1.8166800000471994,None,298.1051355000236,298.60360089997994,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,7,18,右下,1,1,4,0,4,0,0,9,9,2,,,,,,,,,,,,,,,39,298.60360089997994,298.70333370001754,298.70333370001754,301.0971720999805,301.0971720999805,301.0971720999805,0,None,0,,,,,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0971720999805,331.0519230000209,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
