cond,Hour,Minute,bottomText,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,prep_instr.started,use_rows,clock_digital.started,direction_txt.started,key_resp.started,corr_var,key_resp.keys,key_resp.corr,trial_fixation.started,(iti duration),(stim duration),direction_txt.stopped,key_resp.stopped,key_resp.rt,key_resp.duration,rest_txt.started,end_txt.started,end_key_resp.started,end_key_resp.keys,end_key_resp.rt,end_key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
2,17,11,左上,0,2,3,0,3,0,0,5,5,6,,,,,,,,,,,,91,237.9438061,238.0272838,238.0272838,1,2,1,237.4598756,0.4839305,2.5026591,240.4299775,240.4299775,1.8699028,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,18,14,右上,1,1,3,0,3,0,0,6,6,2,,,,,,,,,,,,65,240.94724,241.0307928,241.0307928,1,1,1,240.4467749,0.5004651,2.5029688,243.4337217,243.4337217,1.6328864,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,10,57,右上,0,2,3,0,3,0,0,7,7,3,,,,,,,,,,,,2,243.950819,244.0342797,244.0342797,1,2,1,243.4503777,0.5004413,2.5031377,246.4370991,246.4370991,1.0782959,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,16,35,左下,1,1,3,0,3,0,0,8,8,1,,,,,,,,,,,,24,246.9544495,247.0377565,247.0377565,1,1,1,246.4538381,0.5006114,2.5030191,249.4404991,249.4404991,1.3940628,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,8,55,左上,1,1,3,0,3,0,0,9,9,7,,,,,,,,,,,,80,249.957762,250.0411203,250.0411203,1,1,1,249.4571899,0.5005721,2.5027404,,,1.0150087,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,0,-249.957762,,,,,252.4439171,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,10,49,左下,0,2,4,0,4,0,0,0,0,3,,,,,,,,,,,282.445105,43,284.9482113,285.0314602,285.0314602,1,2,1,284.4683739,0.4798374,284.4683739,287.4339312,287.4339312,1.4731399,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,14,51,左上,1,1,4,0,4,0,0,1,1,9,,,,,,,,,,,,73,287.9537809,288.0349958,288.0349958,1,1,1,287.4510919,0.502689,2.5028806,290.4378498,290.4378498,1.3250408,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,11,50,右上,0,2,4,0,4,0,0,2,2,7,,,,,,,,,,,,34,290.9587072,291.0385255,291.0385255,1,2,1,290.454579,0.5041282,2.5007981,293.4411035,293.4411035,1.098227,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,13,57,右下,0,2,4,0,4,0,0,3,3,4,,,,,,,,,,,,74,293.9586563,294.0418349,294.0418349,1,2,1,293.4579768,0.5006795,2.4992696,,,1.1502184,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
